monument,monumentLabel,monumentDescription,type,typeLabel,typeDescription,gps_coords,locationLabel,localidadeLabel,image
http://www.wikidata.org/entity/Q10353010,Praia do Furadouro,"praia em Ovar, Portugal",,,,Point(-8.678333333 40.870833333),,"Ovar, São João, Arada e São Vicente de Pereira Jusã",http://commons.wikimedia.org/wiki/Special:FilePath/Furadouro%20-%20Portugal%20%282310252488%29.jpg
http://www.wikidata.org/entity/Q10353027,Praia do Lacém,,,,,Point(-7.5675 37.14333333),,,
http://www.wikidata.org/entity/Q10353035,Praia do Magoito,,,,,Point(-9.44921 38.8636),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Magoito%2C%20agosto%202017.jpg
http://www.wikidata.org/entity/Q10353038,Praia do Meco,"Praia em Sesimbra, Portugal",,,,Point(-9.183722222 38.489166666),,Sesimbra,http://commons.wikimedia.org/wiki/Special:FilePath/MECO%20%28Sesimbra%29%202.jpg
http://www.wikidata.org/entity/Q10353050,Praia do Molhe,,,,,Point(-8.51999167 37.10961944),,Lagoa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Molhe.JPG
http://www.wikidata.org/entity/Q10353050,Praia do Molhe,,,,,Point(-8.51999167 37.10961944),,Ferragudo,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Molhe.JPG
http://www.wikidata.org/entity/Q10353058,Praia do Norte (Nazaré),,,,,Point(-9.085583333 39.604416666),,Nazaré,http://commons.wikimedia.org/wiki/Special:FilePath/Can%20you%20see%20the%20surfer%3F%20%2833988985575%29.jpg
http://www.wikidata.org/entity/Q10353058,Praia do Norte (Nazaré),,,,,Point(-9.085583333 39.604416666),,Nazaré,http://commons.wikimedia.org/wiki/Special:FilePath/Nazare%20North%20at%20sunset%202021%20-4%20%28wide%20with%20beach%29.jpg
http://www.wikidata.org/entity/Q10353066,Praia do Paçô,,,,,Point(-8.877672 41.760064),,Viana do Castelo,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Pa%C3%A7%C3%B4.jpg
http://www.wikidata.org/entity/Q10353066,Praia do Paçô,,,,,Point(-8.877672 41.760064),,Carreço,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Pa%C3%A7%C3%B4.jpg
http://www.wikidata.org/entity/Q10353071,Praia do Peneco,,,,,Point(-8.25379 37.0864),,,http://commons.wikimedia.org/wiki/Special:FilePath/Albufeira-Strand%20in%20April.JPG
http://www.wikidata.org/entity/Q10353077,Praia do Pintadinho,,,,,Point(-8.51886389 37.10785556),,Lagoa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Pintadinho.JPG
http://www.wikidata.org/entity/Q10353077,Praia do Pintadinho,,,,,Point(-8.51886389 37.10785556),,Ferragudo,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20do%20Pintadinho.JPG
http://www.wikidata.org/entity/Q10353089,Praia do Porto Santo,"praia constituída por pequenos grãos de areia amarela em Porto Santo, Madeira, Portugal",,,,Point(-16.34722222 33.04777778),Madeira,Porto Santo,http://commons.wikimedia.org/wiki/Special:FilePath/Ilha%20de%20Porto%20Santo%20-%20Portugal%20%282050189089%29.jpg
http://www.wikidata.org/entity/Q10353137,Praia dos Caneiros,,,,,Point(-8.51431944 37.10525),,,http://commons.wikimedia.org/wiki/Special:FilePath/Caneiros%20beach%2C%20Ferragudo%2C%20Algarve%20%2817070981600%29.jpg
http://www.wikidata.org/entity/Q10353138,Praia dos Beijinhos,,,,,Point(-8.77514 41.38745),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20dos%20Beijinhos%20P%C3%B3voa%20Varzim.JPG
http://www.wikidata.org/entity/Q10353149,Praia dos Olhos D'Água,,,,,Point(-8.1904 37.08957),,,http://commons.wikimedia.org/wiki/Special:FilePath/Olhos%20De%20Agua%20-%20cliffs%20%2813399379195%29.jpg
http://www.wikidata.org/entity/Q10353153,Praia dos Pescadores,,,,,Point(-8.24975 37.0869),,,http://commons.wikimedia.org/wiki/Special:FilePath/Albufeira%20%28Portugal%29%20%2810311666686%29.jpg
http://www.wikidata.org/entity/Q10353155,Praia dos Salgados,,,,,Point(-8.32885 37.08837),,Albufeira,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20dos%20Salgados%20-%20Gal%C3%A9.JPG
